SRR2927003	bZIP_tnt.bZIP53_col_v3b
SRR2927002	bZIP_tnt.bZIP53_col_v3a
SRR2927001	bZIP_tnt.bZIP44_col_v3b
SRR2927000	bZIP_tnt.bZIP44_col_v3a
SRR2926999	bZIP_tnt.TGA3_col_v3b
SRR2926998	bZIP_tnt.TGA3_col_v3a
SRR2926997	bZIP_tnt.TGA2_col_v3b
SRR2926996	bZIP_tnt.TGA2_col_v3a
SRR2926995	bZIP_tnt.TGA1_col_v3b
SRR2926994	bZIP_tnt.TGA1_col_v3a
SRR2926993	bZIP_tnt.GBF6_col_v3b
SRR2926992	bZIP_tnt.GBF6_col_v3a
SRR2926991	bZIP_tnt.GBF3_colamp_v3e
SRR2926990	bZIP_tnt.GBF3_colamp_v3d
SRR2926989	bZIP_tnt.GBF3_col_v3b
SRR2926988	bZIP_tnt.GBF3_col_v3a
SRR2926987	bHLH_tnt.bHLH34_col_b
SRR2926986	bHLH_tnt.bHLH34_col_a
SRR2926985	bHLH_tnt.bHLH31_col_b
SRR2926984	bHLH_tnt.bHLH31_col200_a
SRR2926983	bHLH_tnt.BIM2_colamp_v3b
SRR2926982	bHLH_tnt.BIM2_colamp_v3a
SRR2926981	WRKY_tnt.WRKY8_col_b
SRR2926980	WRKY_tnt.WRKY8_col100_a
SRR2926979	WRKY_tnt.WRKY70_col_b
SRR2926978	WRKY_tnt.WRKY70_col200_a
SRR2926977	WRKY_tnt.WRKY7_col_b
SRR2926976	WRKY_tnt.WRKY7_col100_a
SRR2926975	WRKY_tnt.WRKY40_col_v31
SRR2926974	WRKY_tnt.WRKY40_col_a
SRR2926973	WRKY_tnt.WRKY22_col_b
SRR2926972	WRKY_tnt.WRKY22_col100_a
SRR2926971	WRKY_tnt.WRKY21_col_b
SRR2926970	WRKY_tnt.WRKY21_col_a
SRR2926969	Trihelix_tnt.At3g14180_col_b
SRR2926968	Trihelix_tnt.At3g14180_col100_a
SRR2926967	TCP_tnt.TCP3_col_b
SRR2926966	TCP_tnt.TCP3_col_a
SRR2926965	TCP_tnt.TCP24_col_b
SRR2926964	TCP_tnt.TCP24_col200_a
SRR2926963	TCP_tnt.At1g72010_col_b
SRR2926962	TCP_tnt.At1g72010_col200_a
SRR2926961	RAV_tnt.RAV1_col_b
SRR2926960	RAV_tnt.RAV1_col100_a
SRR2926959	NAC_tnt.VND4_col_v3b
SRR2926958	NAC_tnt.VND4_col_v3a
SRR2926957	NAC_tnt.VND3_col_v3b
SRR2926956	NAC_tnt.VND3_col_v3a
SRR2926955	NAC_tnt.NTL8_col_v3b
SRR2926954	NAC_tnt.NTL8_col_v3a
SRR2926953	NAC_tnt.CUC2_col_v3b
SRR2926952	NAC_tnt.CUC2_col_v3a
SRR2926951	NAC_tnt.ANAC096_col_v3b
SRR2926950	NAC_tnt.ANAC096_col_v3a
SRR2926949	NAC_tnt.ANAC079_col_v3b
SRR2926948	NAC_tnt.ANAC079_col_v3a
SRR2926947	NAC_tnt.ANAC070_col_v3b
SRR2926946	NAC_tnt.ANAC070_col_v3a
SRR2926945	NAC_tnt.ANAC062_col_v3b
